"User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Product_Category_1","Product_Category_2","Product_Category_3","Purchase"
"1000001","0","0","10","0","2","0","213","132","148","334093"
"1000002","1","6","16","2","4","0","354","539","359","810472"
"1000003","1","2","15","0","3","0","93","117","148","341635"
"1000004","1","4","7","1","2","1","33","102","127","206468"
"1000005","1","2","20","0","1","1","659","642","207","821001"
"1000006","0","5","9","0","1","0","273","369","232","379930"
"1000007","1","3","1","1","1","1","50","163","135","234668"
"1000008","1","2","12","2","4","1","435","558","329","796593"
"1000009","1","2","17","2","0","0","355","430","194","594099"
"1000010","0","3","1","1","4","1","1059","1243","884","2169510"
"1000011","0","2","1","2","1","0","402","380","180","557023"
"1000012","1","2","12","2","2","0","49","63","49","120801"
"1000013","1","4","1","2","3","1","125","371","468","713927"
"1000014","1","3","0","2","0","0","72","103","30","127629"
"1000015","1","2","7","0","1","0","659","803","515","1047728"
"1000016","0","3","0","2","0","1","106","138","97","150490"
"1000017","1","5","1","2","0","0","682","962","617","1425995"
"1000018","0","1","3","1","3","0","582","1169","1036","1979047"
"1000019","1","0","10","0","3","0","706","886","613","1458069"
"1000021","1","1","16","1","0","0","54","69","78","127099"
"1000022","1","1","15","0","4","0","644","964","633","1279914"
"1000023","1","3","0","1","3","1","849","1469","964","1670998"
"1000024","0","2","7","0","3","1","367","486","317","720899"
"1000025","1","1","4","2","4","0","128","275","296","534706"
"1000026","1","2","7","1","2","1","1154","1459","649","1606174"
"1000027","1","2","11","2","1","1","246","240","104","448934"
"1000028","0","2","1","2","2","1","361","434","121","516560"
"1000029","1","3","7","2","1","0","107","324","288","696201"
"1000030","0","3","7","2","3","0","195","149","99","261584"
"1000031","1","6","7","2","2","0","299","285","184","496154"
"1000032","0","2","0","2","3","1","190","170","93","229049"
"1000033","1","4","3","0","1","1","1454","1419","587","1940418"
"1000034","0","1","0","0","0","0","530","624","267","807983"
"1000035","1","4","1","2","4","1","718","808","395","821303"
"1000036","1","2","3","1","0","0","951","1418","946","2316570"
"1000037","0","2","9","2","1","0","160","316","146","248370"
"1000039","1","1","4","1","2","0","231","233","139","382339"
"1000041","0","1","4","2","3","0","119","96","70","146840"
"1000042","1","2","8","2","0","1","404","968","862","1483035"
"1000043","1","2","12","0","0","0","93","78","27","137916"
"1000044","1","4","17","1","3","1","531","823","608","1180380"
"1000045","0","4","16","0","1","1","883","1351","436","928494"
"1000046","1","1","19","2","4","0","195","76","14","138729"
"1000047","1","1","4","2","4","1","91","115","29","131303"
"1000049","1","1","12","2","4","1","203","449","293","732364"
"1000050","0","2","2","0","1","1","162","164","60","198810"
"1000051","0","0","10","2","2","0","154","163","67","200772"
"1000052","1","1","4","2","0","0","80","303","301","523039"
"1000054","1","5","1","2","4","1","142","96","43","187451"
"1000056","1","3","20","2","0","1","221","276","159","383101"
"1000057","1","1","19","2","2","0","233","208","73","312584"
"1000059","0","5","1","1","4","1","957","914","381","980118"
"1000060","1","5","1","2","1","1","202","195","193","280029"
"1000061","1","2","17","2","1","0","87","127","55","156360"
"1000063","1","1","4","2","2","0","383","368","164","553760"
"1000064","1","1","1","0","1","1","80","76","89","210996"
"1000065","1","3","12","2","2","1","244","448","385","892321"
"1000066","1","2","18","2","2","0","105","131","119","225028"
"1000067","0","5","5","2","4","1","245","234","63","352342"
"1000068","1","1","4","0","0","0","257","241","129","328655"
"1000069","0","2","1","0","1","0","250","218","110","316042"
"1000070","1","1","4","0","2","0","171","138","63","213769"
"1000071","1","2","14","0","0","1","71","85","45","157105"
"1000072","0","4","0","1","1","1","165","181","84","228161"
"1000073","1","1","4","0","4","0","398","894","778","1428303"
"1000074","1","3","14","0","2","1","209","246","147","326298"
"1000075","0","0","10","2","4","0","359","487","504","1035584"
"1000076","1","3","7","1","2","1","244","359","142","597730"
"1000077","1","1","4","2","2","0","172","39","10","147847"
